 tweet_id retweet_status
217 703268521220972544 "No data"
218 686749460672679938 "No data"
219 685547936038666240 "No data"
220 672095186491711488 "No data"
221 680130881361686529 "No data"
222 835297930240217089 False
223 696900204696625153 "No data"
224 702899151802126337 "No data"
225 746369468511756288 "No data"
226 667538891197542400 "No data"
227 668154635664932864 "No data"
228 672139350159835138 "No data"
229 819711362133872643 False
230 682808988178739200 "No data"
231 766864461642756096 True
232 852912242202992640 False
233 678446151570427904 "No data"
234 844973813909606400 False
235 666430724426358785 "No data"
236 676496375194980353 "No data"
237 672834301050937345 "No data"
238 841314665196081154 False
239 778774459159379968 True
240 687127927494963200 "No data"
241 744223424764059648 "No data"
242 707420581654872064 "No data"
243 666817836334096384 "No data"
244 837110210464448512 False
245 704113298707505153 "No data"
246 705239209544720384 "No data"
247 835685285446955009 True
248 690021994562220032 "No data"
249 825147591692263424 False
250 667152164079423490 "No data"
251 732005617171337216 "No data"
252 709918798883774466 "No data"
253 779056095788752897 False
254 750011400160841729 "No data"
255 686007916130873345 "No data"
256 670733412878163972 "No data"
257 667911425562669056 "No data"
258 739544079319588864 "No data"
259 757400162377592832 "No data"
260 807010152071229440 False
261 682088079302213632 "No data"
262 685307451701334016 "No data"
263 671497587707535361 "No data"
264 690690673629138944 "No data"
265 708845821941387268 "No data"
266 749395845976588288 "No data"
267 687109925361856513 "No data"
268 781308096455073793 False
269 803773340896923648 False
270 666644823164719104 "No data"
271 672254177670729728 "No data"
272 845677943972139009 False
273 701545186879471618 "No data"
274 786233965241827333 False
275 702671118226825216 "No data"
276 667782464991965184 "No data"
277 777684233540206592 False
278 668542336805281792 "No data"
279 667873844930215936 "No data"
280 685641971164143616 "No data"
281 670442337873600512 "No data"
282 697270446429966336 "No data"
283 681261549936340994 "No data"
284 757611664640446465 "No data"
285 857746408056729600 False
286 745789745784041472 "No data"
287 829141528400556032 False
288 855459453768019968 False
289 814153002265309185 False
290 892420643555336193 False
291 679062614270468097 "No data"
292 666396247373291520 "No data"
293 790227638568808452 True
294 883360690899218434 False
295 856602993587888130 True
296 741743634094141440 "No data"
297 815736392542261248 False
298 806219024703037440 False
299 741303864243200000 "No data"
300 728760639972315136 "No data"
301 674805413498527744 "No data"
302 690005060500217858 "No data"
303 668826086256599040 "No data"
304 882762694511734784 False
305 842115215311396866 False
306 793165685325201412 False
307 681302363064414209 "No data"
308 759566828574212096 True
309 676617503762681856 "No data"
310 707315916783140866 "No data"
311 759793422261743616 False
312 705591895322394625 "No data"
313 730924654643314689 "No data"
314 748692773788876800 "No data"
315 812781120811126785 False
316 709409458133323776 "No data"
317 687841446767013888 "No data"
318 750381685133418496 "No data"
319 846874817362120707 False
320 746757706116112384 "No data"
321 835246439529840640 False
322 717009362452090881 "No data"
323 759846353224826880 False
324 842846295480000512 False
325 679854723806179328 "No data"
326 835264098648616962 False
327 670003130994700288 "No data"
328 783085703974514689 False
329 795400264262053889 False
330 672466075045466113 "No data"
331 683742671509258241 "No data"
332 846153765933735936 False
333 747461612269887489 "No data"
334 765669560888528897 False
335 848212111729840128 False
336 676916996760600576 "No data"
337 707411934438625280 "No data"
338 817777686764523521 False
339 845098359547420673 True
340 780601303617732608 False
341 674014384960745472 "No data"
342 685906723014619143 "No data"
343 739844404073074688 "No data"
344 673680198160809984 "No data"
345 676776431406465024 "No data"
346 791784077045166082 True
347 670040295598354432 "No data"
348 883838122936631299 False
349 730573383004487680 "No data"
350 743609206067040256 "No data"
351 873580283840344065 False
352 666411507551481857 "No data"
353 742465774154047488 "No data"
354 707738799544082433 "No data"
355 846505985330044928 False
356 679503373272485890 "No data"
357 666837028449972224 "No data"
358 740214038584557568 "No data"
359 877556246731214848 False
360 748324050481647620 "No data"
361 819238181065359361 False
362 733828123016450049 "No data"
363 789137962068021249 False
364 828650029636317184 False
365 831939777352105988 False
366 675710890956750848 "No data"
367 704871453724954624 "No data"
368 679872969355714560 "No data"
369 710588934686908417 "No data"
370 716447146686459905 "No data"
371 729113531270991872 "No data"
372 809808892968534016 True
373 677673981332312066 "No data"
374 670811965569282048 "No data"
375 765371061932261376 False
376 673240798075449344 "No data"
377 687460506001633280 "No data"
378 798673117451325440 True
379 881268444196462592 False
380 667453023279554560 "No data"
381 847157206088847362 False
382 728409960103686147 "No data"
383 811744202451197953 False
384 739932936087216128 "No data"
385 801958328846974976 False
386 841439858740625411 False
387 688211956440801280 "No data"
388 832397543355072512 False
389 676936541936185344 "No data"
390 674754018082705410 "No data"
391 669970042633789440 "No data"
392 688898160958271489 "No data"
393 838150277551247360 False
394 682389078323662849 "No data"
395 678800283649069056 "No data"
396 690938899477221376 "No data"
397 684588130326986752 "No data"
398 682406705142087680 "No data"
399 834209720923721728 False
400 669564461267722241 "No data"
401 704134088924532736 "No data"
402 707387676719185920 "No data"
403 826240494070030336 False
404 810284430598270976 False
405 750506206503038976 "No data"
406 693155686491000832 "No data"
407 670679630144274432 "No data"
408 670408998013820928 "No data"
409 870308999962521604 False
410 674262580978937856 "No data"
411 754482103782404096 "No data"
412 740373189193256964 "No data"
413 760656994973933572 False
414 666063827256086533 "No data"
415 722974582966214656 "No data"
416 748307329658011649 "No data"
417 674800520222154752 "No data"
418 696744641916489729 "No data"
419 886054160059072513 True
420 876484053909872640 False
421 757596066325864448 "No data"
422 843235543001513987 False
423 672995267319328768 "No data"
424 668992363537309700 "No data"
425 688916208532455424 "No data"
426 695794761660297217 "No data"
427 669037058363662336 "No data"
428 816829038950027264 True
429 837482249356513284 False
430 863079547188785154 False
431 750101899009982464 "No data"
432 713175907180089344 "No data"
433 756998049151549440 "No data"
434 843604394117681152 False
435 813081950185472002 False
436 708109389455101952 "No data"
437 672256522047614977 "No data"
438 761976711479193600 False
439 668627278264475648 "No data"
440 666094000022159362 "No data"
441 705066031337840642 "No data"
442 685169283572338688 "No data"
443 848213670039564288 False
